"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	4326	3819452	113.3
	"1999"	"1999"	"Alaska"	"02"	227	521662	43.5
	"1999"	"1999"	"Arizona"	"04"	4453	4267264	104.4
	"1999"	"1999"	"Arkansas"	"05"	2558	2282606	112.1
	"1999"	"1999"	"California"	"06"	20067	28238169	71.1
	"1999"	"1999"	"Colorado"	"08"	3226	3629890	88.9
	"1999"	"1999"	"Connecticut"	"09"	2995	2918199	102.6
	"1999"	"1999"	"Delaware"	"10"	626	668153	93.7
	"1999"	"1999"	"District of Columbia"	"11"	371	500719	74.1
	"1999"	"1999"	"Florida"	"12"	15147	13780545	109.9
	"1999"	"1999"	"Georgia"	"13"	6121	6853980	89.3
	"1999"	"1999"	"Hawaii"	"15"	712	1043564	68.2
	"1999"	"1999"	"Idaho"	"16"	1030	1079759	95.4
	"1999"	"1999"	"Illinois"	"17"	10179	10547092	96.5
	"1999"	"1999"	"Indiana"	"18"	5346	5183649	103.1
	"1999"	"1999"	"Iowa"	"19"	3211	2528466	127.0
	"1999"	"1999"	"Kansas"	"20"	2526	2294969	110.1
	"1999"	"1999"	"Kentucky"	"21"	4289	3473274	123.5
	"1999"	"1999"	"Louisiana"	"22"	3233	3804013	85.0
	"1999"	"1999"	"Maine"	"23"	1274	1111672	114.6
	"1999"	"1999"	"Maryland"	"24"	3888	4505483	86.3
	"1999"	"1999"	"Massachusetts"	"25"	6183	5482124	112.8
	"1999"	"1999"	"Michigan"	"26"	8051	8472541	95.0
	"1999"	"1999"	"Minnesota"	"27"	3696	4189664	88.2
	"1999"	"1999"	"Mississippi"	"28"	2539	2407741	105.5
	"1999"	"1999"	"Missouri"	"29"	5744	4791492	119.9
	"1999"	"1999"	"Montana"	"30"	971	780200	124.5
	"1999"	"1999"	"Nebraska"	"31"	1747	1464306	119.3
	"1999"	"1999"	"Nevada"	"32"	1567	1648592	95.1
	"1999"	"1999"	"New Hampshire"	"33"	944	1056828	89.3
	"1999"	"1999"	"New Jersey"	"34"	6437	7192280	89.5
	"1999"	"1999"	"New Mexico"	"35"	1458	1533775	95.1
	"1999"	"1999"	"New York"	"36"	14601	16273225	89.7
	"1999"	"1999"	"North Carolina"	"37"	6794	6861140	99.0
	"1999"	"1999"	"North Dakota"	"38"	544	560835	97.0
	"1999"	"1999"	"Ohio"	"39"	10397	9757706	106.6
	"1999"	"1999"	"Oklahoma"	"40"	3372	2955762	114.1
	"1999"	"1999"	"Oregon"	"41"	2888	2938147	98.3
	"1999"	"1999"	"Pennsylvania"	"42"	12164	10693148	113.8
	"1999"	"1999"	"Rhode Island"	"44"	938	903506	103.8
	"1999"	"1999"	"South Carolina"	"45"	3316	3423503	96.9
	"1999"	"1999"	"South Dakota"	"46"	677	644422	105.1
	"1999"	"1999"	"Tennessee"	"47"	5295	4873586	108.6
	"1999"	"1999"	"Texas"	"48"	13442	17300741	77.7
	"1999"	"1999"	"Utah"	"49"	1175	1806208	65.1
	"1999"	"1999"	"Vermont"	"50"	529	528827	100.0
