"Notes"	"Year"	"Year Code"	"State"	"State Code"	Count	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	4344	4430141	98.1
	"1999"	"1999"	"Alaska"	"02"	230	624779	36.8
	"1999"	"1999"	"Arizona"	"04"	4489	5023823	89.4
	"1999"	"1999"	"Arkansas"	"05"	2575	2651860	97.1
	"1999"	"1999"	"California"	"06"	20192	33499204	60.3
	"1999"	"1999"	"Colorado"	"08"	3244	4226018	76.8
	"1999"	"1999"	"Connecticut"	"09"	3004	3386401	88.7
	"1999"	"1999"	"Delaware"	"10"	631	774990	81.4
	"1999"	"1999"	"District of Columbia"	"11"	373	570213	65.4
	"1999"	"1999"	"Florida"	"12"	15184	15759421	96.3
	"1999"	"1999"	"Georgia"	"13"	6161	8045965	76.6
	"1999"	"1999"	"Hawaii"	"15"	720	1210300	59.5
	"1999"	"1999"	"Idaho"	"16"	1031	1275674	80.8
	"1999"	"1999"	"Illinois"	"17"	10238	12359020	82.8
	"1999"	"1999"	"Indiana"	"18"	5383	6044969	89.0
	"1999"	"1999"	"Iowa"	"19"	3216	2917634	110.2
	"1999"	"1999"	"Kansas"	"20"	2529	2678338	94.4
	"1999"	"1999"	"Kentucky"	"21"	4307	4018053	107.2
	"1999"	"1999"	"Louisiana"	"22"	3260	4460811	73.1
	"1999"	"1999"	"Maine"	"23"	1277	1266808	100.8
	"1999"	"1999"	"Maryland"	"24"	3911	5254509	74.4
	"1999"	"1999"	"Massachusetts"	"25"	6199	6317345	98.1
	"1999"	"1999"	"Michigan"	"26"	8095	9897116	81.8
	"1999"	"1999"	"Minnesota"	"27"	3706	4873481	76.0
	"1999"	"1999"	"Mississippi"	"28"	2556	2828408	90.4
	"1999"	"1999"	"Missouri"	"29"	5761	5561948	103.6
	"1999"	"1999"	"Montana"	"30"	979	897507	109.1
	"1999"	"1999"	"Nebraska"	"31"	1758	1704764	103.1
	"1999"	"1999"	"Nevada"	"32"	1582	1934718	81.8
	"1999"	"1999"	"New Hampshire"	"33"	948	1222014	77.6
	"1999"	"1999"	"New Jersey"	"34"	6471	8359592	77.4
	"1999"	"1999"	"New Mexico"	"35"	1466	1808082	81.1
	"1999"	"1999"	"New York"	"36"	14471	18882725	76.6
	"1999"	"1999"	"North Carolina"	"37"	6826	7949361	85.9
	"1999"	"1999"	"North Dakota"	"38"	547	644259	84.9
	"1999"	"1999"	"Ohio"	"39"	10431	11335454	92.0
	"1999"	"1999"	"Oklahoma"	"40"	3393	3437147	98.7
	"1999"	"1999"	"Oregon"	"41"	2892	3393941	85.2
	"1999"	"1999"	"Pennsylvania"	"42"	12208	12263805	99.5
	"1999"	"1999"	"Rhode Island"	"44"	941	1040402	90.4
	"1999"	"1999"	"South Carolina"	"45"	3329	3974682	83.8
	"1999"	"1999"	"South Dakota"	"46"	678	750412	90.4
	"1999"	"1999"	"Tennessee"	"47"	5320	5638706	94.3
	"1999"	"1999"	"Texas"	"48"	13542	20558220	65.9
	"1999"	"1999"	"Utah"	"49"	1180	2203482	53.6
	"1999"	"1999"	"Vermont"	"50"	529	604683	87.5
	"1999"	"1999"	"Virginia"	"51"	5542	7000174	79.2
	"1999"	"1999"	"Washington"	"53"	4720	5842564	80.8
	"1999"	"1999"	"West Virginia"	"54"	2234	1811799	123.3
	"1999"	"1999"	"Wisconsin"	"55"	4487	5332666	84.1
	"1999"	"1999"	"Wyoming"	"56"	538	491780	109.4
	"2000"	"2000"	"Alabama"	"01"	4079	4447100	91.7
	"2000"	"2000"	"Alaska"	"02"	211	626932	33.7
	"2000"	"2000"	"Arizona"	"04"	4399	5130632	85.7
	"2000"	"2000"	"Arkansas"	"05"	2770	2673400	103.6
	"2000"	"2000"	"California"	"06"	23989	33871648	70.8
	"2000"	"2000"	"Colorado"	"08"	2947	4301261	68.5
	"2000"	"2000"	"Connecticut"	"09"	3156	3405565	92.7
	"2000"	"2000"	"Delaware"	"10"	723	783600	92.3
	"2000"	"2000"	"District of Columbia"	"11"	364	572059	63.6
	"2000"	"2000"	"Florida"	"12"	14797	15982378	92.6
	"2000"	"2000"	"Georgia"	"13"	6298	8186453	76.9
	"2000"	"2000"	"Hawaii"	"15"	713	1211537	58.9
	"2000"	"2000"	"Idaho"	"16"	1032	1293953	79.8
	"2000"	"2000"	"Illinois"	"17"	9606	12419293	77.3
	"2000"	"2000"	"Indiana"	"18"	5419	6080485	89.1
	"2000"	"2000"	"Iowa"	"19"	3030	2926324	103.5
	"2000"	"2000"	"Kansas"	"20"	2641	2688418	98.2
	"2000"	"2000"	"Kentucky"	"21"	4111	4041769	101.7
	"2000"	"2000"	"Louisiana"	"22"	3354	4468976	75.1
	"2000"	"2000"	"Maine"	"23"	1340	1274923	105.1
	"2000"	"2000"	"Maryland"	"24"	3876	5296486	73.2
	"2000"	"2000"	"Massachusetts"	"25"	6652	6349097	104.8
	"2000"	"2000"	"Michigan"	"26"	7793	9938444	78.4
	"2000"	"2000"	"Minnesota"	"27"	3342	4919479	67.9
	"2000"	"2000"	"Mississippi"	"28"	2567	2844658	90.2
	"2000"	"2000"	"Missouri"	"29"	5500	5595211	98.3
	"2000"	"2000"	"Montana"	"30"	859	902195	95.2
	"2000"	"2000"	"Nebraska"	"31"	1544	1711263	90.2
	"2000"	"2000"	"Nevada"	"32"	1540	1998257	77.1
	"2000"	"2000"	"New Hampshire"	"33"	917	1235786	74.2
	"2000"	"2000"	"New Jersey"	"34"	6395	8414350	76.0
	"2000"	"2000"	"New Mexico"	"35"	1290	1819046	70.9
	"2000"	"2000"	"New York"	"36"	14016	18976457	73.9
	"2000"	"2000"	"North Carolina"	"37"	7133	8049313	88.6
	"2000"	"2000"	"North Dakota"	"38"	557	642200	86.7
	"2000"	"2000"	"Ohio"	"39"	10450	11353140	92.0
	"2000"	"2000"	"Oklahoma"	"40"	3474	3450654	100.7
	"2000"	"2000"	"Oregon"	"41"	2764	3421399	80.8
	"2000"	"2000"	"Pennsylvania"	"42"	12365	12281054	100.7
	"2000"	"2000"	"Rhode Island"	"44"	1018	1048319	97.1
	"2000"	"2000"	"South Carolina"	"45"	3125	4012012	77.9
	"2000"	"2000"	"South Dakota"	"46"	715	754844	94.7
	"2000"	"2000"	"Tennessee"	"47"	5506	5689283	96.8
	"2000"	"2000"	"Texas"	"48"	13704	20851820	65.7
	"2000"	"2000"	"Utah"	"49"	1138	2233169	51.0
	"2000"	"2000"	"Vermont"	"50"	529	608827	86.9
	"2000"	"2000"	"Virginia"	"51"	5597	7078515	79.1
	"2000"	"2000"	"Washington"	"53"	4532	5894121	76.9
	"2000"	"2000"	"West Virginia"	"54"	2305	1808344	127.5
	"2000"	"2000"	"Wisconsin"	"55"	4354	5363675	81.2
	"2000"	"2000"	"Wyoming"	"56"	470	493782	95.2
	"2001"	"2001"	"Alabama"	"01"	4229	4467461	94.7
	"2001"	"2001"	"Alaska"	"02"	225	632249	35.6
	"2001"	"2001"	"Arizona"	"04"	4423	5295929	83.5
	"2001"	"2001"	"Arkansas"	"05"	2623	2691581	97.5
	"2001"	"2001"	"California"	"06"	24046	34526660	69.6
	"2001"	"2001"	"Colorado"	"08"	3073	4427016	69.4
	"2001"	"2001"	"Connecticut"	"09"	3135	3432463	91.3
	"2001"	"2001"	"Delaware"	"10"	641	795417	80.6
	"2001"	"2001"	"District of Columbia"	"11"	311	569321	54.6
	"2001"	"2001"	"Florida"	"12"	15169	16350565	92.8
	"2001"	"2001"	"Georgia"	"13"	6006	8415600	71.4
	"2001"	"2001"	"Hawaii"	"15"	735	1221855	60.2
	"2001"	"2001"	"Idaho"	"16"	1019	1321162	77.1
	"2001"	"2001"	"Illinois"	"17"	9378	12518506	74.9
	"2001"	"2001"	"Indiana"	"18"	5417	6125677	88.4
	"2001"	"2001"	"Iowa"	"19"	2966	2931272	101.2
	"2001"	"2001"	"Kansas"	"20"	2478	2700879	91.7
	"2001"	"2001"	"Kentucky"	"21"	4206	4066908	103.4
	"2001"	"2001"	"Louisiana"	"22"	3434	4465258	76.9
	"2001"	"2001"	"Maine"	"23"	1328	1286350	103.2
	"2001"	"2001"	"Maryland"	"24"	3689	5379591	68.6
	"2001"	"2001"	"Massachusetts"	"25"	6133	6394750	95.9
	"2001"	"2001"	"Michigan"	"26"	7669	10002663	76.7
	"2001"	"2001"	"Minnesota"	"27"	3451	4984621	69.2
	"2001"	"2001"	"Mississippi"	"28"	2604	2857577	91.1
	"2001"	"2001"	"Missouri"	"29"	5522	5643326	97.9
	"2001"	"2001"	"Montana"	"30"	952	906098	105.1
	"2001"	"2001"	"Nebraska"	"31"	1498	1718965	87.1
	"2001"	"2001"	"Nevada"	"32"	1737	2094827	82.9
	"2001"	"2001"	"New Hampshire"	"33"	1002	1258546	79.6
	"2001"	"2001"	"New Jersey"	"34"	6191	8504864	72.8
	"2001"	"2001"	"New Mexico"	"35"	1430	1832608	78.0
	"2001"	"2001"	"New York"	"36"	14124	19091210	74.0
	"2001"	"2001"	"North Carolina"	"37"	6866	8198279	83.7
	"2001"	"2001"	"North Dakota"	"38"	560	636239	88.0
	"2001"	"2001"	"Ohio"	"39"	10283	11384992	90.3
	"2001"	"2001"	"Oklahoma"	"40"	3435	3465778	99.1
	"2001"	"2001"	"Oregon"	"41"	2805	3473484	80.8
	"2001"	"2001"	"Pennsylvania"	"42"	11636	12296063	94.6
	"2001"	"2001"	"Rhode Island"	"44"	985	1058365	93.1
	"2001"	"2001"	"South Carolina"	"45"	3311	4059615	81.6
	"2001"	"2001"	"South Dakota"	"46"	648	758068	85.5
	"2001"	"2001"	"Tennessee"	"47"	5534	5746831	96.3
	"2001"	"2001"	"Texas"	"48"	13942	21333606	65.4
	"2001"	"2001"	"Utah"	"49"	1200	2287736	52.5
	"2001"	"2001"	"Vermont"	"50"	541	612824	88.3
	"2001"	"2001"	"Virginia"	"51"	5666	7191941	78.8
	"2001"	"2001"	"Washington"	"53"	4580	5992412	76.4
	"2001"	"2001"	"West Virginia"	"54"	2236	1801438	124.1
	"2001"	"2001"	"Wisconsin"	"55"	4397	5404432	81.4
	"2001"	"2001"	"Wyoming"	"56"	461	494045	93.3
	"2002"	"2002"	"Alabama"	"01"	4470	4480139	99.8
	"2002"	"2002"	"Alaska"	"02"	240	640699	37.5
	"2002"	"2002"	"Arizona"	"04"	4587	5438159	84.3
	"2002"	"2002"	"Arkansas"	"05"	2778	2706606	102.6
	"2002"	"2002"	"California"	"06"	23639	34988088	67.6
	"2002"	"2002"	"Colorado"	"08"	3205	4498407	71.2
	"2002"	"2002"	"Connecticut"	"09"	3100	3458382	89.6
	"2002"	"2002"	"Delaware"	"10"	669	805767	83.0
	"2002"	"2002"	"District of Columbia"	"11"	289	564624	51.2
	"2002"	"2002"	"Florida"	"12"	15079	16677860	90.4
	"2002"	"2002"	"Georgia"	"13"	6374	8581731	74.3
	"2002"	"2002"	"Hawaii"	"15"	804	1234401	65.1
	"2002"	"2002"	"Idaho"	"16"	1050	1343973	78.1
