Year,State,State Code,Deaths,Population
1980,Alabama,1,1872,3283326
1980,Arizona,4,1913,2293265
1980,Arkansas,5,1195,1930478
1980,California,6,13014,20309154
1980,Colorado,8,1684,2460334
1980,Connecticut,9,1780,2716630
1980,Delaware,10,270,511111
1980,District of Columbia,11,463,567350
1980,Florida,12,6446,8554566
1980,Georgia,13,2661,4601339
1980,Hawaii,15,339,813786
1980,Idaho,16,492,767670
1980,Illinois,17,5859,9734664
1980,Indiana,18,2864,4638407
1980,Iowa,19,1999,2481139
1980,Kansas,20,1601,2013787
1980,Kentucky,21,2402,3088635
1980,Louisiana,22,1628,3498401
1980,Maine,23,796,961967
1980,Maryland,24,1838,3651785
1980,Massachusetts,25,4229,5025088
1980,Michigan,26,4412,7849845
1980,Minnesota,27,2277,3472426
1980,Mississippi,28,1130,2086311
1980,Missouri,29,3196,4207116
1980,Montana,30,495,661997
1980,Nebraska,31,994,1328834
1980,Nevada,32,419,688672
1980,New Hampshire,33,569,790101
1980,New Jersey,34,3885,6393087
1980,New Mexico,35,727,1078548
1980,New York,36,11130,15237268
1980,North Carolina,37,2865,5030002
1980,North Dakota,38,378,548949
1980,Ohio,39,6004,9189000
1980,Oklahoma,40,1792,2562410
1980,Oregon,41,1677,2245730
1980,Pennsylvania,42,7910,10311286
1980,Rhode Island,44,537,828997
1980,South Carolina,45,1324,2629661
1980,South Dakota,46,442,579451
1980,Tennessee,47,2556,3915104
1980,Texas,48,6224,11890241
1980,Utah,49,566,1124888
1980,Vermont,50,363,437603
1980,Virginia,51,2706,4598608
1980,Washington,53,2424,3530022
1980,West Virginia,54,1325,1651259
1980,Wisconsin,55,2371,4014023
1980,Wyoming,56,244,385415
1981,Alabama,1,2090,3318827
1981,Arizona,4,1795,2381913
1981,Arkansas,5,1352,1943103
1981,California,6,13224,20858753
1981,Colorado,8,1762,2539749
1981,Connecticut,9,1745,2748604
1981,Delaware,10,286,514125
1981,District of Columbia,11,369,567795
1981,Florida,12,6935,8969398
1981,Georgia,13,2827,4710567
1981,Hawaii,15,333,826740
1981,Idaho,16,527,782180
1981,Illinois,17,6272,9765383
1981,Indiana,18,3015,4646681
1981,Iowa,19,2055,2478229
1981,Kansas,20,1671,2031029
1981,Kentucky,21,2453,3106897
1981,Louisiana,22,1871,3566892
1981,Maine,23,748,972880
1981,Maryland,24,1947,3704178
1981,Massachusetts,25,3921,5074845
1981,Michigan,26,4512,7827691
1981,Minnesota,27,2237,3507552
1981,Mississippi,28,1264,2107899
1981,Missouri,29,3439,4225508
1981,Montana,30,525,669118
1981,Nebraska,31,1045,1337405
1981,Nevada,32,416,729066
1981,New Hampshire,33,535,807647
1981,New Jersey,34,3794,6463617
1981,New Mexico,35,691,1103905
1981,New York,36,10328,15301382
1981,North Carolina,37,3129,5123169
1981,North Dakota,38,369,554011
1981,Ohio,39,5901,9214357
1981,Oklahoma,40,1845,2626229
1981,Oregon,41,1627,2275634
1981,Pennsylvania,42,7689,10338995
1981,Rhode Island,44,560,837005
1981,South Carolina,45,1514,2691876
1981,South Dakota,46,485,578552
1981,Tennessee,47,2784,3960909
1981,Texas,48,6655,12343483
1981,Utah,49,555,1160731
1981,Vermont,50,338,442474
1981,Virginia,51,2972,4706131
1981,Washington,53,2445,3622570
1981,West Virginia,54,1450,1662041
1981,Wisconsin,55,2473,4040660
1981,Wyoming,56,240,402281
1982,Alabama,1,1956,3334224
1982,Arizona,4,1866,2452412
1982,Arkansas,5,1379,1948673
1982,California,6,13537,21277712
1982,Colorado,8,1809,2609502
1982,Connecticut,9,1666,2761313
1982,Delaware,10,288,516345
1982,District of Columbia,11,364,566702
1982,Florida,12,6418,9225425
1982,Georgia,13,2847,4791260
1982,Hawaii,15,398,840060
1982,Idaho,16,566,790288
1982,Illinois,17,5809,9749917
1982,Indiana,18,2814,4644006
1982,Iowa,19,1917,2460061
1982,Kansas,20,1548,2040968
1982,Kentucky,21,2309,3123777
1982,Louisiana,22,1794,3624269
1982,Maine,23,707,976885
1982,Maryland,24,1977,3725463
1982,Massachusetts,25,3663,5084768
1982,Michigan,26,4589,7762642
1982,Minnesota,27,2303,3518210
1982,Mississippi,28,1255,2125382
1982,Missouri,29,3156,4222784
1982,Montana,30,524,675041
1982,Nebraska,31,1068,1338588
1982,Nevada,32,457,756845
1982,New Hampshire,33,532,817720
1982,New Jersey,34,3754,6497743
1982,New Mexico,35,718,1129387
1982,New York,36,9863,15327851
1982,North Carolina,37,3013,5189462
1982,North Dakota,38,333,560998
1982,Ohio,39,5614,9197590
1982,Oklahoma,40,1906,2720828
1982,Oregon,41,1671,2271865
1982,Pennsylvania,42,7258,10335387
1982,Rhode Island,44,493,838366
