code,state,date
AZ,Arizona,1-May-07
CA,California,1-Jan-95
CO,Colorado,1-Jul-06
CT,Connecticut,1-Oct-03
DE,Delaware,1-Nov-02
HI,Hawaii,16-Nov-06
IL,Illinois,1-Jan-08
IA,Iowa,1-Jul-08
KS,Kansas,1-Jul-10
ME,Maine,1-Jan-04
MD,Maryland,1-Feb-08
MA,Massachusetts,1-Jul-04
MI,Michigan,1-May-10
MN,Minnesota,1-Oct-07
MT,Montana,1-Oct-05
NE,Nebraska,1-Jun-09
NJ,New Jersey,15-Apr-06
NM,New Mexico,15-Jun-07
NY,New York,24-Jul-03
ND,North Dakota,2-Jan-10
OH,Ohio,7-Dec-06
OR,Oregon,1-Jan-09
RI,Rhode Island,1-Mar-05
SD,South Dakota,10-Nov-10
UT,Utah,1-Jan-07
VT,Vermont,1-Sep-05
WA,Washington,8-Dec-05
WI,Wisconsin,5-Jul-10
