year,state,smoke_everyday,smoke_some_days,former_smoker,never_smoked,location_1,location_1_zip,location_1_city,location_1_state,location_1_address
2011,North Carolina,15.6,6.2,24.8,53.4,POINT (-79.1593199999179 35.46624999963797),,,,North Carolina
2011,Rhode Island,14.4,5.7,27.7,52.2,POINT (-71.5224700001902 41.70828000002217),,,,Rhode Island
2011,Missouri,19.4,5.6,25,50,POINT (-92.5663000000448 38.63578999960896),,,,Missouri
2011,Puerto Rico,10.8,4,18.8,66.4,,,,,
2011,West Virginia,23.8,4.9,23.5,47.9,POINT (-80.71263999973604 38.66550999958696),,West,Virginia,
2011,Alabama,18.6,5.8,25.1,50.6,POINT (-86.63186000013877 32.840569999605975),,,,Alabama
2011,Oregon,14.4,5.4,27.5,52.8,POINT (-120.15502999983448 44.567449999917756),,,,Oregon
2011,Florida,13.5,5.8,28,52.8,POINT (-81.9289599999039 28.932039999846268),,,,Florida
2011,Montana,16.4,5.7,26.9,51,POINT (-109.42441999998289 47.06653000015956),,,,Montana
2011,Mississippi,18.8,7.1,21.3,52.8,POINT (-89.53803000008429 32.7455100000866),,,,Mississippi
2011,Alaska,15.9,7,27.9,49.1,POINT (-147.72205999986895 64.84507999974238),,,,Alaska
2011,Texas,12,7.2,21.8,59,POINT (-99.42676999973554 31.82724000022597),,,,Texas
2011,Delaware,16.3,5.5,28.3,50,POINT (-75.57774000040052 39.00883000020451),,,,Delaware
2011,Arkansas,20.1,6.8,25.1,48,POINT (-92.27448999971358 34.748649999697875),,,,Arkansas
2011,Louisiana,19.3,6.4,22,52.3,POINT (-92.44567999993188 31.31265999975932),,,,Louisiana
2011,Connecticut,11.8,5.3,27.8,55.1,POINT (-72.6498400002157 41.56265999995918),,,,Connecticut
2011,Oklahoma,19.9,6.2,24.7,49.2,POINT (-97.52034999975251 35.4720099999617),,,,Oklahoma
2011,Indiana,19.4,6.2,24.7,49.7,POINT (-86.14996000035359 39.76690999989677),,,,Indiana
2011,Hawaii,12.2,4.7,25.9,57.3,POINT (-157.85774999956269 21.304850000427336),,,,Hawaii
2011,California,8.6,5,23.9,62.5,POINT (-120.99958999997835 37.638300000444815),,,,California
2011,Utah,8.5,3.3,16,72.2,POINT (-111.58712999994941 39.36070000030492),,,,Utah
2011,Kentucky,23.6,5.4,24.3,46.8,POINT (-84.77496999996538 37.645969999815804),,,,Kentucky
2011,District of Columbia,12.8,8,22,57.2,POINT (-77.03195999965413 38.89036999987576),,,,District of Columbia
2011,New Mexico,13.5,7.9,24.9,53.6,POINT (-106.24057999976702 34.52088000011207),,,,New Mexico
2011,Virginia,15,5.9,23.6,55.5,POINT (-78.45789000012326 37.54268000028196),,,,Virginia
2011,New York,12.1,6,25.4,56.5,POINT (-75.54396999981549 42.82699999955048),,,,New York
2011,Wyoming,17.5,5.5,26.2,50.8,POINT (-108.10982999975454 43.23553999957147),,,,Wyoming
2011,Guam,21.1,9.4,14.6,54.9,,,,,
2011,Pennsylvania,16.9,5.6,25.4,52.2,POINT (-77.86069999960512 40.79372999993973),,,,Pennsylvania
2011,Vermont,14.7,4.4,30.8,50.1,POINT (-72.51764000028561 43.625379999687425),,,,Vermont
2011,Ohio,19.1,6,25.2,49.7,POINT (-82.40426000019869 40.06020999969189),,,,Ohio
2011,South Carolina,16.6,6.6,24,52.8,POINT (-81.0452500001872 33.99855000018255),,,,South Carolina
2011,Arizona,13.1,6.2,24.9,55.9,POINT (-111.76380999973156 34.86596999961597),,,,Arizona
2011,North Dakota,15.9,5.9,25.3,52.9,POINT (-100.11841999998285 47.475320000018144),,,,North Dakota
2011,Illinois,14.3,6.6,24.4,54.7,POINT (-88.99770999971656 40.485010000411364),,,,Illinois
2011,Georgia,14.3,6.9,22.1,56.7,POINT (-83.62758000031658 32.83967999993223),,,,Georgia
2011,Tennessee,18.3,4.7,23.8,53.2,POINT (-85.77449000011325 35.68094000038087),,,,Tennessee
2011,Maryland,13.7,5.4,22.6,58.3,POINT (-76.6092600004485 39.29057999976732),,,,Maryland
2011,New Jersey,11.4,5.5,25.8,57.4,POINT (-74.2736899996936 40.13056999960594),,,,New Jersey
2011,Michigan,17.3,6,25.7,51,POINT (-84.71438999959867 44.661320000317914),,,,Michigan
2011,Maine,17.6,5.2,31.6,45.6,POINT (-68.9850299999344 45.25423000041434),,,,Maine
2011,Kansas,16.9,5.1,22.4,55.6,POINT (-98.20077999969709 38.34774000000118),,,,Kansas
2011,Nationwide (States and DC),15.4,5.7,25.1,52.9,,,,,
2011,Colorado,12.3,6,27.2,54.6,POINT (-106.13314000041055 38.842890000173554),,,,Colorado
2011,New Hampshire,15.4,4.1,29.2,51.4,POINT (-71.50036000041354 43.65595000019255),,,,New Hampshire
2011,Minnesota,13.2,5.9,26.2,54.7,POINT (-94.79419999982997 46.3556499998478),,,,Minnesota
2011,Iowa,15.5,4.8,25,54.6,POINT (-93.81649000001335 42.469390000048634),,,,Iowa
2011,Washington,12.1,5.4,26,56.5,POINT (-120.47001000026114 47.522280000022135),,,,Washington
2011,Massachusetts,13.3,4.9,28.3,53.5,POINT (-72.08269000004333 42.27687000005062),,,,Massachusetts
2011,Nebraska,14.5,5.4,24.3,55.7,POINT (-99.36572999973953 41.6410400000961),,,,Nebraska
2011,Idaho,12.4,4.8,24.4,58.5,POINT (-114.36368000023168 43.682590000228515),,,,Idaho
2011,South Dakota,15.5,7.6,25.5,51.5,POINT (-100.37353000040906 44.353130000049646),,,,South Dakota
